schoolid,sex,pped,repeated_grade,msesc
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,no,0.76
10108,girl,yes,yes,0.76
10108,boy,yes,no,0.76
10108,boy,yes,no,0.76
10108,boy,yes,no,0.76
10108,boy,yes,no,0.76
10108,boy,yes,no,0.76
10108,boy,yes,yes,0.76
10108,boy,yes,yes,0.76
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,no,1.06
10109,girl,yes,yes,1.06
10109,girl,yes,yes,1.06
10109,girl,yes,yes,1.06
10109,boy,no,no,1.06
10109,boy,no,no,1.06
10109,boy,no,yes,1.06
10109,boy,yes,no,1.06
10109,boy,yes,no,1.06
10109,boy,yes,yes,1.06
10109,boy,yes,yes,1.06
10109,boy,yes,yes,1.06
10109,boy,yes,yes,1.06
10109,boy,yes,yes,1.06
10211,girl,no,no,0.54
10211,girl,no,no,0.54
10211,girl,no,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,girl,yes,no,0.54
10211,boy,no,no,0.54
10211,boy,no,no,0.54
10211,boy,no,no,0.54
10211,boy,no,no,0.54
10211,boy,no,yes,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10211,boy,yes,no,0.54
10312,girl,no,no,0.5
10312,girl,no,no,0.5
10312,girl,no,no,0.5
10312,girl,no,no,0.5
10312,girl,no,no,0.5
10312,girl,no,no,0.5
10312,boy,no,no,0.5
10312,boy,no,no,0.5
10312,boy,no,no,0.5
10312,boy,no,no,0.5
10312,boy,no,no,0.5
10312,boy,no,no,0.5
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,no,0.29
10314,girl,no,yes,0.29
10314,boy,no,no,0.29
10314,boy,no,no,0.29
10314,boy,no,no,0.29
10314,boy,no,no,0.29
10314,boy,no,no,0.29
10314,boy,no,yes,0.29
10314,boy,no,yes,0.29
10314,boy,no,yes,0.29
10314,boy,no,yes,0.29
10315,girl,no,no,0.68
10315,girl,no,no,0.68
10315,girl,no,no,0.68
10315,girl,no,yes,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,girl,yes,no,0.68
10315,boy,no,no,0.68
10315,boy,no,no,0.68
10315,boy,no,no,0.68
10315,boy,no,yes,0.68
10315,boy,no,yes,0.68
10315,boy,no,yes,0.68
10315,boy,no,yes,0.68
10315,boy,no,yes,0.68
10315,boy,yes,no,0.68
10315,boy,yes,no,0.68
10315,boy,yes,yes,0.68
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,girl,no,no,-0.29
10316,boy,no,no,-0.29
10316,boy,no,no,-0.29
10316,boy,no,no,-0.29
10316,boy,no,no,-0.29
10316,boy,no,no,-0.29
10316,boy,yes,no,-0.29
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,girl,yes,no,0.11
10418,boy,no,no,0.11
10418,boy,no,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,no,0.11
10418,boy,yes,yes,0.11
10419,girl,no,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,girl,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
10419,boy,yes,no,-0.19
20101,girl,no,no,0.06
20101,girl,no,no,0.06
20101,girl,no,no,0.06
20101,girl,no,no,0.06
20101,girl,no,yes,0.06
20101,boy,no,no,0.06
20101,boy,no,no,0.06
20101,boy,no,no,0.06
20101,boy,no,no,0.06
20101,boy,no,no,0.06
20101,boy,no,no,0.06
20101,boy,no,yes,0.06
20101,boy,no,yes,0.06
20101,boy,no,yes,0.06
20101,boy,yes,no,0.06
20101,boy,yes,no,0.06
20101,boy,yes,yes,0.06
20102,girl,no,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,girl,yes,no,0.32
20102,boy,no,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20102,boy,yes,no,0.32
20203,girl,yes,no,-0.38
20203,girl,yes,no,-0.38
20203,girl,yes,no,-0.38
20203,girl,yes,no,-0.38
20203,boy,no,no,-0.38
20203,boy,no,no,-0.38
20203,boy,no,yes,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,no,-0.38
20203,boy,yes,yes,-0.38
20204,girl,yes,no,0.04
20204,girl,yes,no,0.04
20204,girl,yes,no,0.04
20204,girl,yes,no,0.04
20204,girl,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,no,0.04
20204,boy,yes,yes,0.04
20205,girl,no,no,-0.45
20205,boy,no,no,-0.45
20205,boy,no,yes,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,no,-0.45
20205,boy,yes,yes,-0.45
20205,boy,yes,yes,-0.45
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,no,-0.11
20206,girl,yes,yes,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,no,-0.11
20206,boy,yes,yes,-0.11
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,no,-0.04
20207,girl,yes,yes,-0.04
20207,girl,yes,yes,-0.04
20207,girl,yes,yes,-0.04
20207,boy,no,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,no,-0.04
20207,boy,yes,yes,-0.04
20207,boy,yes,yes,-0.04
20207,boy,yes,yes,-0.04
20207,boy,yes,yes,-0.04
20207,boy,yes,yes,-0.04
20207,boy,yes,yes,-0.04
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,no,-0.42
20308,girl,yes,yes,-0.42
20308,girl,yes,yes,-0.42
20308,girl,yes,yes,-0.42
20308,boy,yes,no,-0.42
20308,boy,yes,no,-0.42
20308,boy,yes,yes,-0.42
20308,boy,yes,yes,-0.42
20308,boy,yes,yes,-0.42
20308,boy,yes,yes,-0.42
20309,girl,yes,no,-0.38
20309,boy,yes,yes,-0.38
20310,girl,yes,no,-0.39
20310,girl,yes,no,-0.39
20310,girl,yes,no,-0.39
20310,girl,yes,no,-0.39
20310,girl,yes,yes,-0.39
20310,girl,yes,yes,-0.39
20310,girl,yes,yes,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,no,-0.39
20310,boy,yes,yes,-0.39
20311,girl,yes,no,-0.16
20311,girl,yes,no,-0.16
20311,girl,yes,no,-0.16
20311,girl,yes,no,-0.16
20311,girl,yes,no,-0.16
20311,boy,yes,no,-0.16
20311,boy,yes,no,-0.16
20311,boy,yes,no,-0.16
20311,boy,yes,yes,-0.16
20311,boy,yes,yes,-0.16
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,girl,yes,no,-0.24
20312,boy,yes,no,-0.24
20312,boy,yes,no,-0.24
20312,boy,yes,no,-0.24
20312,boy,yes,no,-0.24
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,no,-0.31
20414,girl,yes,yes,-0.31
20414,boy,no,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,no,-0.31
20414,boy,yes,yes,-0.31
20414,boy,yes,yes,-0.31
20515,girl,no,yes,-0.52
20515,girl,yes,no,-0.52
20515,girl,yes,no,-0.52
20515,girl,yes,no,-0.52
20515,girl,yes,no,-0.52
20515,girl,yes,yes,-0.52
20515,girl,yes,yes,-0.52
20515,girl,yes,yes,-0.52
20515,boy,yes,no,-0.52
20515,boy,yes,no,-0.52
20515,boy,yes,yes,-0.52
20515,boy,yes,yes,-0.52
20517,girl,yes,no,-0.33
20517,girl,yes,no,-0.33
20517,girl,yes,no,-0.33
20517,girl,yes,no,-0.33
20517,girl,yes,yes,-0.33
20517,girl,yes,yes,-0.33
20517,boy,yes,no,-0.33
20518,girl,no,no,-0.23
20518,girl,no,no,-0.23
20518,girl,yes,no,-0.23
20518,girl,yes,no,-0.23
20518,boy,no,no,-0.23
20518,boy,no,no,-0.23
20518,boy,no,no,-0.23
20518,boy,yes,no,-0.23
20518,boy,yes,no,-0.23
20518,boy,yes,no,-0.23
20518,boy,yes,no,-0.23
20519,girl,yes,no,-0.45
20519,girl,yes,no,-0.45
20519,girl,yes,yes,-0.45
20519,boy,no,no,-0.45
20519,boy,no,no,-0.45
20519,boy,yes,no,-0.45
20519,boy,yes,no,-0.45
20520,boy,no,no,-0.24
20520,boy,no,no,-0.24
20520,boy,no,yes,-0.24
20520,boy,no,yes,-0.24
30101,girl,no,no,0.14
30101,girl,no,no,0.14
30101,girl,no,no,0.14
30101,girl,no,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,no,0.14
30101,girl,yes,yes,0.14
30101,boy,no,no,0.14
30101,boy,no,no,0.14
30101,boy,no,no,0.14
30101,boy,no,no,0.14
30101,boy,no,no,0.14
30101,boy,no,no,0.14
30101,boy,yes,no,0.14
30101,boy,yes,no,0.14
30101,boy,yes,no,0.14
30101,boy,yes,no,0.14
30202,girl,no,no,-0.16
30202,girl,no,no,-0.16
30202,girl,no,no,-0.16
30202,girl,no,yes,-0.16
30202,girl,no,yes,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,no,-0.16
30202,girl,yes,yes,-0.16
30202,boy,no,yes,-0.16
30202,boy,no,yes,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,no,-0.16
30202,boy,yes,yes,-0.16
30202,boy,yes,yes,-0.16
30202,boy,yes,yes,-0.16
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,no,-0.25
30203,girl,no,yes,-0.25
30203,girl,yes,no,-0.25
30203,girl,yes,no,-0.25
30203,girl,yes,no,-0.25
30203,girl,yes,no,-0.25
30203,girl,yes,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,no,-0.25
30203,boy,no,yes,-0.25
30203,boy,no,yes,-0.25
30203,boy,no,yes,-0.25
30203,boy,yes,no,-0.25
30203,boy,yes,no,-0.25
30203,boy,yes,no,-0.25
30203,boy,yes,no,-0.25
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,no,no,-0.11
30204,girl,yes,no,-0.11
30204,girl,yes,yes,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,no,-0.11
30204,boy,no,yes,-0.11
30204,boy,no,yes,-0.11
30204,boy,no,yes,-0.11
30204,boy,no,yes,-0.11
30204,boy,no,yes,-0.11
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,no,0.15
30205,girl,no,yes,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,no,0.15
30205,boy,no,yes,0.15
30205,boy,no,yes,0.15
30206,girl,no,no,-0.08
30206,girl,no,no,-0.08
30206,girl,no,no,-0.08
30206,girl,no,no,-0.08
30206,girl,no,no,-0.08
30206,girl,yes,no,-0.08
30206,girl,yes,no,-0.08
30206,boy,no,no,-0.08
30206,boy,no,no,-0.08
30206,boy,no,no,-0.08
30206,boy,no,no,-0.08
30206,boy,no,no,-0.08
30206,boy,no,yes,-0.08
30206,boy,yes,no,-0.08
30206,boy,yes,no,-0.08
30206,boy,yes,no,-0.08
30206,boy,yes,no,-0.08
30206,boy,yes,no,-0.08
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,no,-0.03
30207,girl,no,yes,-0.03
30207,boy,no,no,-0.03
30207,boy,no,no,-0.03
30207,boy,no,no,-0.03
30207,boy,no,no,-0.03
30207,boy,no,no,-0.03
30207,boy,no,yes,-0.03
30207,boy,no,yes,-0.03
30207,boy,no,yes,-0.03
30207,boy,no,yes,-0.03
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,no,no,-0.09
30208,girl,yes,no,-0.09
30208,girl,yes,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,no,-0.09
30208,boy,no,yes,-0.09
30208,boy,no,yes,-0.09
30208,boy,no,yes,-0.09
30309,girl,no,no,-0.17
30309,girl,no,no,-0.17
30309,girl,no,no,-0.17
30309,girl,no,no,-0.17
30309,girl,no,no,-0.17
30309,girl,no,no,-0.17
30309,girl,no,yes,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,girl,yes,no,-0.17
30309,boy,no,no,-0.17
30309,boy,no,no,-0.17
30309,boy,no,no,-0.17
30309,boy,no,yes,-0.17
30309,boy,no,yes,-0.17
30309,boy,yes,no,-0.17
30309,boy,yes,yes,-0.17
30310,girl,no,no,-0.35
30310,girl,no,no,-0.35
30310,girl,no,no,-0.35
30310,girl,no,no,-0.35
30310,girl,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,no,-0.35
30310,boy,no,yes,-0.35
30310,boy,no,yes,-0.35
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,no,-0.2
30311,girl,no,yes,-0.2
30311,girl,no,yes,-0.2
30311,boy,no,no,-0.2
30311,boy,no,no,-0.2
30311,boy,no,no,-0.2
30311,boy,no,no,-0.2
30311,boy,no,no,-0.2
30312,girl,no,no,-0.29
30312,girl,no,no,-0.29
30312,girl,no,no,-0.29
30312,girl,no,yes,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,girl,yes,no,-0.29
30312,boy,no,yes,-0.29
30312,boy,no,yes,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,no,-0.29
30312,boy,yes,yes,-0.29
30312,boy,yes,yes,-0.29
30312,boy,yes,yes,-0.29
30312,boy,yes,yes,-0.29
30312,boy,yes,yes,-0.29
30313,girl,no,no,-0.26
30313,girl,no,no,-0.26
30313,girl,no,no,-0.26
30313,girl,no,no,-0.26
30313,girl,no,no,-0.26
30313,girl,no,yes,-0.26
30313,girl,no,yes,-0.26
30313,girl,no,yes,-0.26
30313,girl,no,yes,-0.26
30313,girl,no,yes,-0.26
30313,girl,yes,no,-0.26
30313,boy,no,no,-0.26
30313,boy,no,no,-0.26
30313,boy,no,no,-0.26
30313,boy,no,no,-0.26
30313,boy,no,yes,-0.26
30313,boy,no,yes,-0.26
30313,boy,no,yes,-0.26
30313,boy,no,yes,-0.26
30313,boy,no,yes,-0.26
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,girl,yes,no,-0.36
30414,boy,no,yes,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30414,boy,yes,no,-0.36
30416,girl,no,no,-0.33
30416,girl,no,no,-0.33
30416,girl,no,yes,-0.33
30416,girl,no,yes,-0.33
30416,girl,yes,no,-0.33
30416,boy,no,no,-0.33
30416,boy,no,no,-0.33
30416,boy,no,no,-0.33
30416,boy,no,no,-0.33
30416,boy,no,yes,-0.33
30416,boy,no,yes,-0.33
30417,girl,yes,no,-0.24
30417,girl,yes,no,-0.24
30417,girl,yes,no,-0.24
30417,girl,yes,no,-0.24
30417,girl,yes,yes,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,no,-0.24
30417,boy,yes,yes,-0.24
30417,boy,yes,yes,-0.24
30418,girl,no,no,0.35
30418,girl,no,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,no,0.35
30418,girl,yes,yes,0.35
30418,boy,no,no,0.35
30418,boy,no,no,0.35
30418,boy,no,yes,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30418,boy,yes,no,0.35
30519,girl,no,no,0.02
30519,girl,no,no,0.02
30519,girl,no,no,0.02
30519,girl,no,no,0.02
30519,girl,no,no,0.02
30519,girl,no,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,girl,yes,no,0.02
30519,boy,no,no,0.02
30519,boy,no,no,0.02
30519,boy,no,no,0.02
30519,boy,no,no,0.02
30519,boy,no,no,0.02
30519,boy,yes,no,0.02
30519,boy,yes,no,0.02
30519,boy,yes,no,0.02
30519,boy,yes,no,0.02
30519,boy,yes,no,0.02
30520,girl,no,no,0.15
30520,girl,no,no,0.15
30520,girl,no,no,0.15
30520,girl,no,no,0.15
30520,girl,yes,no,0.15
